|                                                                                               TITILE |  YEAR |                                           DIRECTOR |                                                                                                STARS |  RATE |                                            REFLINK |
|                                                                                                Żądło |  1973 |                                    George Roy Hill |                                                     ('Paul Newman', 'Robert Redford', 'Robert Shaw') |   8.2 |              https://www.imdb.com/title/tt0070735/ |
|                                                                                          Toy Story 3 |  2010 |                                        Lee Unkrich |                                                            ('Tom Hanks', 'Tim Allen', 'Joan Cusack') |   8.2 |              https://www.imdb.com/title/tt0435761/ |
|                                                                                           Metropolis |  1927 |                                         Fritz Lang |                                                  ('Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich') |   8.2 |              https://www.imdb.com/title/tt0017136/ |
|                                                                                       Piętno śmierci |  1952 |                                     Akira Kurosawa |                                              ('Takashi Shimura', 'Nobuo Kaneko', "Shin'ichi Himori") |   8.2 |              https://www.imdb.com/title/tt0044741/ |
|                                                                              Za kilka dolarów więcej |  1965 |                                       Sergio Leone |                                            ('Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè') |   8.2 |              https://www.imdb.com/title/tt0059578/ |
|                                                                                            Rozstanie |  2011 |                                     Asghar Farhadi |                                                      ('Payman Maadi', 'Leila Hatami', 'Sareh Bayat') |   8.2 |              https://www.imdb.com/title/tt1832382/ |
|                                                                               Podwójne ubezpieczenie |  1944 |                                       Billy Wilder |                                         ('Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson') |   8.2 |              https://www.imdb.com/title/tt0036775/ |
|                                                                                           Garsoniera |  1960 |                                       Billy Wilder |                                                ('Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray') |   8.2 |              https://www.imdb.com/title/tt0053604/ |
|                                                                                         Zabić drozda |  1962 |                                    Robert Mulligan |                                                      ('Gregory Peck', 'John Megna', 'Frank Overton') |   8.2 |              https://www.imdb.com/title/tt0056592/ |
|                                                                                         Pogorzelisko |  2010 |                                   Denis Villeneuve |                                      ('Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette') |   8.2 |              https://www.imdb.com/title/tt1255953/ |
|                                                                    Indiana Jones i ostatnia krucjata |  1989 |                                   Steven Spielberg |                                                    ('Harrison Ford', 'Sean Connery', 'Alison Doody') |   8.2 |              https://www.imdb.com/title/tt0097576/ |
|                                                                                                Odlot |  2009 |                                        Pete Docter |                                                ('Edward Asner', 'Jordan Nagai', 'John Ratzenberger') |   8.2 |              https://www.imdb.com/title/tt1049413/ |
|                                                                                Tajemnice Los Angeles |  1997 |                                      Curtis Hanson |                                                      ('Kevin Spacey', 'Russell Crowe', 'Guy Pearce') |   8.2 |              https://www.imdb.com/title/tt0119488/ |
|                                                                          Monty Python i Święty Graal |  1975 |                                      Terry Gilliam |                                                       ('Graham Chapman', 'John Cleese', 'Eric Idle') |   8.2 |              https://www.imdb.com/title/tt0071853/ |
|                                                                                             Gorączka |  1995 |                                       Michael Mann |                                                        ('Al Pacino', 'Robert De Niro', 'Val Kilmer') |   8.2 |              https://www.imdb.com/title/tt0113277/ |
|                                                                                             Rashomon |  1950 |                                     Akira Kurosawa |                                                   ('Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori') |   8.2 |              https://www.imdb.com/title/tt0042876/ |
|                                                                                      Szklana pułapka |  1988 |                                     John McTiernan |                                                   ('Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia') |   8.2 |              https://www.imdb.com/title/tt0095016/ |
|                                                                                     Straż przyboczna |  1961 |                                     Akira Kurosawa |                                                 ('Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai') |   8.2 |              https://www.imdb.com/title/tt0055630/ |
|                                                                                    Batman - Początek |  2005 |                                  Christopher Nolan |                                                  ('Christian Bale', 'Michael Caine', 'Ken Watanabe') |   8.2 |              https://www.imdb.com/title/tt0372784/ |
|                                                                                           Green Book |  2018 |                                     Peter Farrelly |                                            ('Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini') |   8.2 |              https://www.imdb.com/title/tt6966692/ |
|                                                                                               Upadek |  2004 |                                Oliver Hirschbiegel |                                             ('Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes') |   8.2 |              https://www.imdb.com/title/tt0363163/ |
|                                                                                     Bez przebaczenia |  1992 |                                     Clint Eastwood |                                                 ('Clint Eastwood', 'Gene Hackman', 'Morgan Freeman') |   8.2 |              https://www.imdb.com/title/tt0105695/ |
|                                                                                       Dzieci niebios |  1997 |                                       Majid Majidi |                                   ('Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi') |   8.2 |              https://www.imdb.com/title/tt0118849/ |
|                                                                                          Idź i patrz |  1985 |                                        Elem Klimov |                                    ('Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius') |   8.2 |              https://www.imdb.com/title/tt0091251/ |
|                                                                                Pół żartem, pół serio |  1959 |                                       Billy Wilder |                                                     ('Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon') |   8.2 |              https://www.imdb.com/title/tt0053291/ |
|                                                                                  Ruchomy zamek Hauru |  2004 |                                     Hayao Miyazaki |                                                ('Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin') |   8.2 |              https://www.imdb.com/title/tt0347149/ |
|                                                                                                  Ran |  1985 |                                     Akira Kurosawa |                                                  ('Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu') |   8.2 |              https://www.imdb.com/title/tt0089881/ |
|                                                                                      Wielka ucieczka |  1963 |                                       John Sturges |                                            ('Steve McQueen', 'James Garner', 'Richard Attenborough') |   8.2 |              https://www.imdb.com/title/tt0057115/ |
|                                                                                      Wszystko o Ewie |  1950 |                               Joseph L. Mankiewicz |                                                     ('Bette Davis', 'Anne Baxter', 'George Sanders') |   8.2 |              https://www.imdb.com/title/tt0042192/ |
|                                                                                         Piękny umysł |  2001 |                                         Ron Howard |                                                  ('Russell Crowe', 'Ed Harris', 'Jennifer Connelly') |   8.2 |              https://www.imdb.com/title/tt0268978/ |
|                                                                                               Kasyno |  1995 |                                    Martin Scorsese |                                                      ('Robert De Niro', 'Sharon Stone', 'Joe Pesci') |   8.2 |              https://www.imdb.com/title/tt0112641/ |
